match_id,player_id,Ball Receipt*,Ball Recovery,Carry,Dispossessed,Dribble,Duel,Foul Won,Pass,Pressure,Shot,Block,Dribbled Past,Foul Committed,Interception,Miscontrol,Clearance,Error,Goal Keeper,Shield,Injury Stoppage,Offside,minutes_played,duels_lost,passes_last_15_minute,position_name_Center Attacking Midfield,position_name_Center Back,position_name_Center Defensive Midfield,position_name_Center Forward,position_name_Center Midfield,position_name_Goalkeeper,position_name_Left Attacking Midfield,position_name_Left Back,position_name_Left Center Back,position_name_Left Center Forward,position_name_Left Center Midfield,position_name_Left Defensive Midfield,position_name_Left Midfield,position_name_Left Wing,position_name_Left Wing Back,position_name_Right Attacking Midfield,position_name_Right Back,position_name_Right Center Back,position_name_Right Center Forward,position_name_Right Center Midfield,position_name_Right Defensive Midfield,position_name_Right Midfield,position_name_Right Wing,position_name_Right Wing Back,position_name_Secondary Striker,position_name_nan,total_running_distance,stamina_start,stamina_end,substituted
15973,6826,14,2,15,0,0,2,0,17,3,0,0,0,1,0,0,2,0,0,0,0,0,25.506716666666666,0,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,96.30000000000001,41.86666666666667,44.31333333333334,False
15973,6857,3,2,5,0,0,2,0,5,5,0,2,0,0,1,0,0,0,0,0,0,0,22.373316666666664,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,20.799999999999986,37.18,41.260000000000005,False
15973,8206,27,2,18,0,0,1,0,25,6,2,0,0,1,0,0,0,0,0,0,0,0,19.0593,0,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,41.099999999999994,55.09444444444444,56.144444444444446,False
15973,9747,5,2,6,0,0,0,0,28,1,0,0,0,1,0,0,0,0,30,0,0,0,45.8971,0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.89999999999999,9.666666666666666,15.016666666666666,False
15973,11392,13,1,14,0,0,1,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,12.020933333333334,0,14,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,47.9,53.371428571428574,56.47857142857142,False
15973,11669,41,5,36,1,1,3,0,43,21,1,5,2,3,0,1,1,0,0,0,0,0,46.59155,0,10,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,61.09999999999998,53.59444444444444,54.10833333333333,False
15973,11671,23,1,14,1,0,2,0,17,10,2,1,0,0,0,2,0,0,0,0,0,0,44.71053333333334,0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,55.30000000000001,69.95714285714286,71.86428571428571,True
15973,11672,15,0,11,3,1,4,0,13,17,1,0,0,0,2,0,0,0,0,0,0,0,45.00171666666667,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,47.99999999999999,69.86363636363636,72.22727272727273,True
15973,11673,24,1,19,0,2,1,1,19,6,1,1,0,1,2,1,0,0,0,0,0,0,44.8787,0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,85.70000000000002,72.93157894736842,73.7578947368421,True
15973,11674,27,3,26,1,1,3,0,37,12,0,1,0,5,0,1,1,0,0,0,0,0,46.409549999999996,0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,38.19999999999999,50.107692307692304,50.638461538461534,False
15973,11675,42,3,36,0,1,0,0,44,18,0,1,2,1,3,0,0,0,0,0,0,0,44.78431666666667,0,14,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,145.50000000000003,60.15833333333333,62.75,False
15973,11676,26,4,26,2,0,4,2,37,8,0,5,0,1,1,1,2,0,0,0,0,0,44.31661666666666,0,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,134.0,58.388461538461534,61.603846153846156,False
15973,11677,18,3,19,1,0,4,1,26,9,0,0,2,0,1,1,4,0,0,0,0,0,43.37875,0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,56.29999999999998,55.163157894736834,56.83157894736842,False
15973,11678,8,2,5,0,0,0,1,9,6,1,0,0,0,1,0,0,0,0,0,0,0,18.35875,0,9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,46.800000000000004,78.32000000000001,86.72,False
